weaponsWaffen_careerKarriere;0
stickVer togetherKleben gumGummiharz somethingVerkleben aggluniateKleben glueKleben;;32formableFormbare polaryPolare weaponsWaffen asWie likeWie polaryPolare adjustedZugewiesenw energyEnergie etcUsw;;33
absorbAbsorbieren energyEnergie weaponizationBewaffung finnalyLetztlich energeticEnergetische weaponWaffe anythingIrgendetwas weaponWaffe mentalMentales investmentInvestieren worldWeltPeopleVolk inspectInspizieren intrudeEindringen;31
freezeGefrieren coldKalt coolKühl frozenGefrohren, digestionVerdauungs_system_brainGehirn_defenseVerteidigungDevilTeufel_Satan_ByDurchMuscleMuskelBrainGehirnResilenceResilienz61;30;
spiritual warfare intruder abyss deep ressourses;spirituelle Kriegsführunge eindringen Abgrund tief Ressourcen;29
fattening goose overtake;mästen Gänse Übernahme;28
seduction Lasso caught;Verführung Lasso Gefangen;27
iron will strategy game theory space time geo strategist turn based board gamer;eisener Wille Strategie Spieltheorie Raum-Zeit-Geo-Stratege runden basierter Brett Spieler;26
gloves intertrack;Handschuhe Spuren;25
masks multimedia artificial intelligence;Masken Multimedia künstliche Intelligenzen;24
illness, poison, parasites infections;Krankheit, Gift, Parasiten Infektionen;23
radiation - micro wave, x-ray, cancer radioactivity beam weapon tachyon radiation;Strahlung - Mikrowelle, Röntgen, Krebs Radioaktivitäts Strahlenwaffe Tachyonen Strahlung;22
?;21
?;20
?;19
?;18
?;17
?;16
?;15
?;14
?;13
?;12
?;11
?;9
?;8
?;7
?;6
?;5
?;4
?;3
?;2
?;1
