unipolar, monopolar;Dualismen;Tripel, Triniäten;4;5;6;7;8;9;10
enby;Gut, böse;Induktion, Deduktion, Abduktion;verständig (sóphron), gerecht (díkaios), fromm (eusebés), tapfer (agathós);big five Persönlichkeitstest;6 Dimensionen der Moderne und deren umgekehrte Richtung;7 katholische Todsünden;;;
Existenz;lieb, ungezogen;Eingabe, Ausgabe, Verarbeitung;Gerechtigkeit (iustitia), Mäßigung (temperantia), Tapferkeit und Hochsinn (fortitudo, magnitudo animi bzw. virtus) und  Weisheit oder Klugheit (sapientia bzw. prudentia).;Charaktertypen in Psychoanalyse und Tiefenpsychologie;;7 europäische Tugenden;;;
Das Sein;gut, schlecht;Analyse, Synthese, Dialektik;Sophia (Weisheit) Andreia (Tapferkeit) Sophrosyne (Besonnenheit) Dikaiosyne (Gerechtigkeit);;;;;;
Universum;wahr, falsch;Einleitung, Hauptteil, Schluss;"Fortpflanzung; Ernährung, Ressourcen, Enthaltsamkeit; Selbstverwirklichung; Erleuchtung";;;;;;
Gott;hell, dunkel;Redoxreaktion, Oxidation, Reduktion;schwache Wechselwirkung, starke Wechselwirkung, Elektromagnetisches Kraft, Gravitation;;;;;;
Wirklichkeit;bunt, eintönig;Liebe, Hass, Gleichgültigkeit;2 Arme + 2 Beine;;;;;;
die Zahl 1;Harmonie, Kontrast;Freund, Feind, Neutral;Politik: links, rechts, freiheitlich,  autoritär;;;;;;
das Absolute;heiß, kalt;Größer, Gleich, Kleiner;Konditionierung: bestrafen, belohnen, hinzufügen,  wegnehmen;;;;;;
100,00 %;links, recht bzw. oben, unten, bzw. hinten, vorne;Gott, Sohn, heiliger Geist;"Erkenntnis von Gut und Böse: gutmütig; schädlich;  lieb, nett, gefügig; böse, rebellisch, eigenwillig";;;;;;
das Totale;früher, später;Zerstörung, Erhaltung, Erschaffung (Brahma, Vishnu, Shiva);Karma bzw. Determinismus: richtig, falsch, ethisch gut, ethisch böse bzw. schlecht;;;;;;
der Punkt;Gute, schlechte Gefühle;Vater, Mutter, Kind;Religionskodierung: Feuer, Erde, Wasser, Luft;;;;;;
;weise, närrisch;Server, Client, Peer to Peer;Aggregatzustände: fest, flüssig, gasförmig, Plasma;;;;;;
;nett, frech;Firewall: Input, Output. Fordward; ;;;;;;
;höflich, dreist;Physikalische Induktion: Bewegung, Elektrizität, Magnetismus;;;;;;;
;gebildet, ungebildet;Exposition, Klimax, Konklusion;;;;;;;
;männlich, weiblich;Verhalten von Hühnern: Offensive, Defensive, Alternative;;;;;;;
;Gott, Teufel;Null, positive Zahlen, negative Zahlen;;;;;;;
;Geist, Materie;;;;;;;;
;Energie, Materie;;;;;;;;
;Klein, Groß;;;;;;;;
;schön, hässlich;;;;;;;;
;yin, yang;;;;;;;;
;Harmonie, Streit;;;;;;;;
