Gegentranszendentalien, Gegenstrukturalien und Transzendentalien, Strukturalien (15 und -15);Meinungsrelation (18 zu Angelegenheiten der 17)
5;subjektiv
-18;normativ
-19;Moderat – jemand übertreibt nicht
12;ordentlich, sauber (z.B. sauber formuliert)
21;kompetent
10;korrekt
-4|10;eine Ewige Wahrheit
-6;wertfrei
24|5;könnte intersubjektiv bedeuten, wohingegen die 5 auch mit einer anderen Zahl in Kombination intersubjektiv bedeuten könnte
11;vielleicht: kontrovers
9;einheitlich, bzw. Konsistenz in der Weise, dass Einheitlichkeit damit gemeint ist
-5;unvollständig, bzw. offen gelassen (weniger als ein Ganzes), oder auch darüber hinausgehend (mehr als ein Ganzes)
7;Meinungen gehen in eine ähnliche oder in die gleiche Richtung
3;Die eine Meinung nutzt der anderen Meinung
-12;chaotisch
14;Meinungen können kombiniert werden
17;Meinungen über Meinungen, d.h. also Metameinungen
2|17;Meinungen über Fähigkeiten der Meinungsbildung
2;"bestimmt; Bestimmtheit zu einem jeweiligen irgendwas"
