Sonne;;;;;identisch sein, macht etwas einzigartig
Sonne;;Planet;;;Gemeinsamkeiten  mit allen Lebewesen, befähigt etwas
Sonne;;;schwarze Sonne;;zum Überleben, nützen
;Mond;Planet;;;
Sonne;;;;;Unversehrtheit, etwas gilt
Sonne;;Planet;schwarze Sonne;;
Sonne;;;;Messias 1-n;Anführer, macht etwas gut
;Mond;Planet;;;
;Mond;;schwarze Sonne;;
Sonne;;Planet;;;
Sonne;;;;;Wohltätigkeits-Ressourcen-Eintreiber
Sonne;;Planet;schwarze Sonne;;
Sonne;;;;;Volunteer (Englisch passt hier besser), hilft
Sonne;;Planet;;;
Sonne;;;schwarze Sonne;;
;Mond;Planet;;;
Sonne;;;;;Sittenwächter, nicht erkennen
Sonne;;Planet;schwarze Sonne;;
Sonne;;;;;Motivationsgeber, Religion wirkt nicht
Sonne;;Planet;;;
Sonne;;;schwarze Sonne;;
Sonne;;Planet;;;
Sonne;;;;;Auskunft bekommen
Sonne;;Planet;schwarze Sonne;;
;Mond;;;;
Sonne;;Planet;;;
;Mond;;schwarze Sonne;;
Sonne;;Planet;;;
Sonne;;;;;Fortpflanzung durch geistige statt materielle Überlegenheit
Sonne;;Planet;schwarze Sonne;;
Sonne;;;;;Fortpflanzung durch geistige statt emotionale Überlegenheit
;Mond;Planet;;;
Sonne;;;schwarze Sonne;;
Sonne;;Planet;;;
Sonne;;;;;
;Mond;Planet;schwarze Sonne;;
Sonne;;;;;
Sonne;;Planet;;;
Sonne;;;schwarze Sonne;;
Sonne;;Planet;;;
Sonne;;;;;
Sonne;;Planet;schwarze Sonne;;
Sonne;;;;;
Sonne;;Planet;;;
Sonne;;;schwarze Sonne;;
Sonne;;Planet;;;
Sonne;;;;;
Sonne;;Planet;schwarze Sonne;;
;Mond;;;;
Sonne;;Planet;;;
Sonne;;;schwarze Sonne;;
Sonne;;Planet;;;
Sonne;;;;;
Sonne;;Planet;schwarze Sonne;;
Sonne;;;;;
Sonne;;Planet;;;
Sonne;;;schwarze Sonne;;
Sonne;;Planet;;;
Sonne;;;;;
Sonne;;Planet;schwarze Sonne;;
Sonne;;;;;
Sonne;;Planet;;;
Sonne;;;schwarze Sonne;;
;Mond;Planet;;;
Sonne;;;;;
Sonne;;Planet;schwarze Sonne;;
Sonne;;;;;
Sonne;;Planet;;;
Sonne;;;schwarze Sonne;;
Sonne;;Planet;;;
Sonne;;;;;
Sonne;;Planet;schwarze Sonne;;
Sonne;;;;;
Sonne;;Planet;;;
Sonne;;;schwarze Sonne;;
Sonne;;Planet;;;
Sonne;;;;;
Sonne;;Planet;schwarze Sonne;;
Sonne;;;;;
Sonne;;Planet;;;
;Mond;;schwarze Sonne;;
Sonne;;Planet;;;
Sonne;;;;;
Sonne;;Planet;schwarze Sonne;;
Sonne;;;;;
Sonne;;Planet;;;
Sonne;;;schwarze Sonne;;
Sonne;;Planet;;;
Sonne;;;;;
Sonne;;Planet;schwarze Sonne;;
Sonne;;;;;
Sonne;;Planet;;;
Sonne;;;schwarze Sonne;;
Sonne;;Planet;;;
Sonne;;;;;
Sonne;;Planet;schwarze Sonne;;
Sonne;;;;;
Sonne;;Planet;;;
Sonne;;;schwarze Sonne;;
;Mond;Planet;;;
Sonne;;;;;
Sonne;;Planet;schwarze Sonne;;
Sonne;;;;;
Sonne;;Planet;;;
Sonne;;;schwarze Sonne;;
Sonne;;Planet;;;
Sonne;;;;;
Sonne;;Planet;schwarze Sonne;;
Sonne;;;;;
Sonne;;Planet;;;
Sonne;;;schwarze Sonne;;
Sonne;;Planet;;;
Sonne;;;;;
Sonne;;Planet;schwarze Sonne;;
